Date,Platform,Visitors,Signups,Revenue
17/04/2024,WEBSITE,1066.0,56.0,26416.63
02-04-2024,MARKETPLACE,1008.0,44.0,25042.99
2024-02-16,MARKETPLACE,994.0,46.0,14898.3
25/02/2024,Mobile app,731.0,31.0,13737.91
2024-04-12,MARKETPLACE,1105.0,44.0,16349.22
2024/06/18,WEBSITE,2082.0,67.0,116767.84
2024-02-04,Web site,574.0,28.0,9381.37
30-04-2024,marketplace,969.0,53.0,
26/05/2024,mobile app,814.0,37.0,15585.02
2024/05/30,Mobile app,1089.0,58.0,"$27,057.36"
2024/04/27,MobileApp,890.0,32.0,"$14,944.43"
2024/06/07,Marketplace,1279.0,68.0,21919.3
21-01-2024,marketplace,672.0,25.0,14091.88
28-02-2024,Mobile App,870.0,52.0,19844.31
2024/03/15,marketplace,951.0,55.0,21046.96
24-05-2024,marketplace,1248.0,58.0,18002.06
01-03-2024,Web site,1000.0,46.0,23064.49
2024-05-11,Mobile App,796.0,43.0,12692.76
16-05-2024,MobileApp,1295.0,52.0,24275.67
02/05/2024,Website,1158.0,63.0,19099.59
04-01-2024,marketplace,786.0,32.0,18816.54
2024/01/23,Mobile App,795.0,42.0,20708.77
2024-01-15,MobileApp,876.0,42.0,13959.24
2024/01/30,mobile app,779.0,48.0,18062.52
2024/06/02,Mobile app,848.0,39.0,13209.01
2024/06/13,Web site,1221.0,73.0,27782.13
28/04/2024,Marketplace,716.0,43.0,14259.43
26-06-2024,marketplace,1382.0,63.0,19511.13
04-06-2024,Mobile App,1311.0,63.0,24372.72
15/05/2024,Web site,1065.0,64.0,28001.12
2024-05-20,Web site,1305.0,51.0,24616.63
2024/03/06,website,967.0,58.0,"$19,100.89"
2024-03-14,website,985.0,,"$22,705.21"
2024/06/23,marketplace,983.0,,13530.77
22/05/2024,Mobile app,1051.0,63.0,28070.49
2024/06/16,Mobile App,923.0,44.0,16717.47
2024/04/11,website,967.0,46.0,20304.96
2024/02/18,Website,662.0,29.0,10871.82
10/01/2024,Website,786.0,,15670.95
25/06/2024,Website,2187.0,74.0,109254.6
2024/05/21,mobile app,1227.0,51.0,24748.05
2024-01-22,Web site,787.0,44.0,20476.49
17/02/2024,MARKETPLACE,744.0,37.0,15543.44
10-03-2024,mobile app,709.0,37.0,10623.69
11/06/2024,Mobile app,1114.0,53.0,28238.26
06/05/2024,MARKETPLACE,973.0,45.0,21320.85
19-06-2024,mobile app,1226.0,,20551.58
2024/06/09,Web site,865.0,50.0,19371.36
17-03-2024,Mobile App,616.0,35.0,
2024-02-03,Mobile app,609.0,32.0,12636.06
2024/02/26,MARKETPLACE,1066.0,41.0,14686.06
2024-06-24,MobileApp,1265.0,56.0,23455.22
2024/02/06,Website,800.0,48.0,18526.75
2024-02-12,MARKETPLACE,1007.0,51.0,
2024-01-25,Web site,953.0,42.0,13781.1
15/04/2024,mobile app,1072.0,57.0,"$24,730.81"
2024/05/03,MARKETPLACE,1173.0,61.0,27153.05
11-02-2024,WEBSITE,,29.0,11922.73
2024-03-23,Web site,697.0,28.0,14833.99
2024-05-09,Marketplace,1135.0,55.0,17335.62
01-06-2024,MARKETPLACE,898.0,40.0,13427.72
08-03-2024,Mobile App,1043.0,41.0,22107.77
2024/01/11,Mobile App,908.0,44.0,13324.01
12/06/2024,Mobile app,1132.0,60.0,20966.44
2024-03-11,Web site,1024.0,42.0,15548.94
2024-02-10,Mobile App,661.0,30.0,13252.03
2024/04/29,mobile app,1023.0,62.0,21756.75
19-03-2024,MARKETPLACE,975.0,58.0,15404.69
22-06-2024,Web site,863.0,35.0,13600.12
2024-02-20,WEBSITE,999.0,47.0,20950.82
14-06-2024,Web site,1057.0,72.0,20415.26
27-02-2024,WEBSITE,884.0,45.0,19062.81
2024-02-13,WEBSITE,870.0,45.0,17017.01
29-01-2024,Marketplace,883.0,43.0,
2024-05-04,Mobile App,693.0,42.0,16089.31
2024-03-26,Web site,1083.0,42.0,20804.13
2024-05-27,Website,1077.0,49.0,28307.62
04/03/2024,Mobile app,885.0,39.0,19173.78
07/03/2024,Marketplace,1071.0,44.0,15260.55
07-05-2024,website,1150.0,51.0,22619.68
28/06/2024,WEBSITE,1158.0,64.0,23440.99
27-06-2024,mobile app,,,26855.93
2024-05-12,marketplace,890.0,43.0,19584.04
24/04/2024,WEBSITE,1201.0,44.0,17799.3
2024/03/27,marketplace,954.0,45.0,"$16,550.72"
16/01/2024,mobile app,774.0,42.0,15724.37
2024-06-03,Website,1154.0,56.0,24625.51
2024/05/05,mobile app,714.0,,11992.38
13/05/2024,Marketplace,1135.0,52.0,19061.96
01/02/2024,Marketplace,909.0,42.0,
10/05/2024,marketplace,1217.0,63.0,20128.73
2024/01/09,Website,930.0,35.0,15566.29
2024-06-21,WEBSITE,1167.0,51.0,22215.16
09/03/2024,Website,776.0,32.0,12317.37
20/04/2024,MARKETPLACE,826.0,42.0,11834.93
2024-06-10,website,,52.0,18598.36
2024-01-27,Marketplace,580.0,35.0,13684.01
18-03-2024,Web site,943.0,48.0,"$22,797.18"
16-03-2024,Website,778.0,33.0,11708.55
2024-01-02,marketplace,750.0,,17203.82
2024/01/26,website,898.0,36.0,13432.8
2024/03/03,Website,641.0,37.0,13969.23
21/03/2024,Marketplace,1096.0,56.0,19709.85
2024/04/11,website,967.0,46.0,20304.96
2024/03/20,WEBSITE,1131.0,46.0,24452.24
2024-04-19,Website,1043.0,62.0,18029.7
16/04/2024,MARKETPLACE,1046.0,50.0,20471.38
18-05-2024,Web site,1634.0,33.0,"$38,834.55"
